ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-29653N|refseq:NP_002349|uniprotkb:Q13257	DIP-29653N|refseq:NP_002349|uniprotkb:Q13257	-	-	-	-	MI:0028(cosedimentation in solution)|MI:0071(molecular sieving)|MI:0114(x-ray crystallography)|MI:0077(nuclear magnetic resonance)	-	pubmed:18318601|pubmed:DIP-4667S|pubmed:18318601|pubmed:DIP-4667S|pubmed:18318601|pubmed:DIP-4667S|pubmed:18318601|pubmed:DIP-4667S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59141E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29653N|refseq:NP_002349|uniprotkb:Q13257	DIP-29654N|uniprotkb:Q9Y6D9	 -	-	-	-	MI:0071(molecular sieving)|MI:0077(nuclear magnetic resonance)	-	pubmed:18318601|pubmed:DIP-4667S|pubmed:18318601|pubmed:DIP-4667S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59142E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29660N|refseq:NP_003256|uniprotkb:O15455	DIP-29660N|refseq:NP_003256|uniprotkb:O15455	-	-	-	-	MI:0071(molecular sieving)|MI:0028(cosedimentation in solution)	-	pubmed:18172197|pubmed:DIP-4670S|pubmed:18172197|pubmed:DIP-4670S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59146E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29662N|refseq:NP_003736|uniprotkb:O15524	DIP-29661N|refseq:NP_057850	 -	-	-	-	MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18172216|pubmed:DIP-4672S|pubmed:18172216|pubmed:DIP-4672S|pubmed:18172216|pubmed:DIP-4672S|pubmed:18172216|pubmed:DIP-4672S|pubmed:18172216|pubmed:DIP-4672S	taxid:9606(Homo sapiens)	taxid:11676(human immunodeficiency virus type 1, HIV-1)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59149E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29667N|refseq:NP_000543|uniprotkb:P04275	DIP-29667N|refseq:NP_000543|uniprotkb:P04275	-	-	-	-	MI:0808(comigration in sds page)|MI:0067(light scattering)|MI:0807(comigration in gel electrophoresis)|MI:0038(dynamic light scattering)|MI:0071(molecular sieving)|MI:0808(comigration in sds page)	-	pubmed:18492805|pubmed:DIP-11467S|pubmed:18182488|pubmed:DIP-4676S|pubmed:17895385|pubmed:DIP-11654S|pubmed:18182488|pubmed:DIP-4676S|pubmed:18182488|pubmed:DIP-4676S|pubmed:18492805|pubmed:DIP-11467S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0195(covalent binding)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0195(covalent binding)	MI:0465(dip)	DIP-59153E	dip-quality-status:core	dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-29676N|uniprotkb:Q9UHH9	DIP-27595N|refseq:NP_005339|uniprotkb:P07900	 -	-	-	-	MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18195352|pubmed:DIP-4681S|pubmed:18195352|pubmed:DIP-4681S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59160E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29678N|refseq:NP_057390|uniprotkb:Q9UBS4	DIP-29677N|uniprotkb:P07823	 -	-	-	-	MI:0096(pull down)	-	pubmed:18203820|pubmed:DIP-4682S	taxid:9606(Homo sapiens)	taxid:10036(Mesocricetus auratus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59161E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29681N|refseq:NP_000238|uniprotkb:Q29983	DIP-24261N|uniprotkb:P62988	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18230726|pubmed:DIP-4687S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59164E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29682N|uniprotkb:P16435	DIP-29683N|refseq:NP_061820|uniprotkb:P99999	 -	-	-	-	MI:0415(enzymatic study)	-	pubmed:18230729|pubmed:DIP-4688S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59165E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29684N|refseq:NP_940980|uniprotkb:Q5S007	DIP-29684N|refseq:NP_940980|uniprotkb:Q5S007	-	-	-	-	MI:0096(pull down)|MI:0114(x-ray crystallography)	-	pubmed:18230735|pubmed:DIP-4689S|pubmed:18230735|pubmed:DIP-4689S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59166E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29686N|refseq:NP_001092|uniprotkb:P60709	DIP-29686N|refseq:NP_001092|uniprotkb:P60709	-	-	-	-	MI:0410(electron tomography)|MI:0040(electron microscopy)|MI:0028(cosedimentation in solution)	-	pubmed:18234857|pubmed:DIP-4690S|pubmed:20383143|pubmed:DIP-14527S|pubmed:19000816|pubmed:DIP-11660S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59167E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-29685N	DIP-29686N|refseq:NP_001092|uniprotkb:P60709	 -	-	-	-	MI:0410(electron tomography)	-	pubmed:18234857|pubmed:DIP-4690S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59168E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29687N|uniprotkb:P17096	DIP-29692N|refseq:NP_055136|uniprotkb:Q9Y5N6	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0809(bimolecular fluorescence complementation)|MI:0006(anti bait coimmunoprecipitation)|MI:0096(pull down)	-	pubmed:18234858|pubmed:DIP-4691S|pubmed:18234858|pubmed:DIP-4691S|pubmed:18234858|pubmed:DIP-4691S|pubmed:18234858|pubmed:DIP-4691S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59169E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29687N|uniprotkb:P17096	DIP-29689N|refseq:NP_006181|uniprotkb:Q13416	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18234858|pubmed:DIP-4691S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59170E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29687N|uniprotkb:P17096	DIP-29688N|refseq:NP_004144|uniprotkb:Q13415	 -	-	-	-	MI:0809(bimolecular fluorescence complementation)	-	pubmed:18234858|pubmed:DIP-4691S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59171E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29690N|refseq:NP_002543|uniprotkb:O43929	DIP-29692N|refseq:NP_055136|uniprotkb:Q9Y5N6	 -	-	-	-	MI:0809(bimolecular fluorescence complementation)	-	pubmed:18234858|pubmed:DIP-4691S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59172E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29692N|refseq:NP_055136|uniprotkb:Q9Y5N6	DIP-29691N|refseq:NP_002544|uniprotkb:O43913	 -	-	-	-	MI:0809(bimolecular fluorescence complementation)	-	pubmed:18234858|pubmed:DIP-4691S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59173E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29695N|refseq:NP_000518|uniprotkb:P01130	DIP-29694N|refseq:NP_777596|uniprotkb:Q8NBP7	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0071(molecular sieving)|MI:0049(filter binding)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18250299|pubmed:DIP-4693S|pubmed:18753623|pubmed:DIP-11627S|pubmed:18250299|pubmed:DIP-4693S|pubmed:18753623|pubmed:DIP-11627S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59175E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-29696N|refseq:NP_005021|uniprotkb:P53350	DIP-29697N|refseq:NP_008998|uniprotkb:O95251	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0018(two hybrid)|MI:0047(far western blotting)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0424(protein kinase assay)	-	pubmed:18250300|pubmed:DIP-4694S|pubmed:18250300|pubmed:DIP-4694S|pubmed:18250300|pubmed:DIP-4694S|pubmed:18250300|pubmed:DIP-4694S|pubmed:18250300|pubmed:DIP-4694S|pubmed:18250300|pubmed:DIP-4694S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59176E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-6115N|refseq:NP_000497|uniprotkb:P00734	DIP-29703N|refseq:NP_001983|uniprotkb:P25116	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:18250335|pubmed:DIP-4698S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59180E	dip-quality-status:core	dip:0002(small scale)		-
DIP-483N|uniprotkb:P01579	DIP-29704N|refseq:NP_671677|uniprotkb:Q66793	 -	-	-	-	MI:0071(molecular sieving)|MI:0114(x-ray crystallography)	-	pubmed:18252829|pubmed:DIP-4699S|pubmed:18252829|pubmed:DIP-4699S	taxid:9606(Homo sapiens)	taxid:12643(Ectromelia virus)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59181E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29713N|refseq:NP_066285|uniprotkb:P24468	DIP-29711N|refseq:NP_116027|uniprotkb:P23769	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18250317|pubmed:DIP-4701S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59185E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29713N|refseq:NP_066285|uniprotkb:P24468	DIP-29712N|refseq:NP_032117|uniprotkb:P23772	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18250317|pubmed:DIP-4701S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0915(physical association)	MI:0465(dip)	DIP-59186E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29714N|uniprotkb:Q14643	DIP-24269N|uniprotkb:P31749	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18250332|pubmed:DIP-4702S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59187E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24269N|uniprotkb:P31749	DIP-29715N|refseq:NP_001007236|uniprotkb:P29994	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18250332|pubmed:DIP-4702S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-59188E	dip-quality-status:core	dip:0002(small scale)		-
DIP-27526N|uniprotkb:O15111	DIP-29716N|uniprotkb:Q15796	 -	-	-	-	MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18268325|pubmed:DIP-4703S|pubmed:18268325|pubmed:DIP-4703S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59190E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-27526N|uniprotkb:O15111	DIP-29720N|refseq:NP_005893|uniprotkb:P84022	 -	-	-	-	MI:0096(pull down)	-	pubmed:18268325|pubmed:DIP-4703S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59191E	dip-quality-status:core	dip:0002(small scale)		-
DIP-257N|refseq:NP_001420|uniprotkb:Q09472	DIP-29722N|refseq:NP_001521|uniprotkb:Q16665	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18268343|pubmed:DIP-4705S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59193E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29722N|refseq:NP_001521|uniprotkb:Q16665	DIP-29723N|refseq:NP_963853|uniprotkb:O43524	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18268343|pubmed:DIP-4705S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59194E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29724N|refseq:NP_000172|uniprotkb:P08236	DIP-29724N|refseq:NP_000172|uniprotkb:P08236	-	-	-	-	MI:0071(molecular sieving)	-	pubmed:18268347|pubmed:DIP-4706S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59195E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29725N|refseq:NP_005539|uniprotkb:Q15046	DIP-29725N|refseq:NP_005539|uniprotkb:Q15046	-	-	-	-	MI:0071(molecular sieving)|MI:0017(classical fluorescence spectroscopy)|MI:0114(x-ray crystallography)	-	pubmed:18272479|pubmed:DIP-4707S|pubmed:18272479|pubmed:DIP-4707S|pubmed:18272479|pubmed:DIP-4707S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59196E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-1083N|refseq:NP_000362|uniprotkb:P02766	DIP-29727N	 -	-	-	-	MI:0107(surface plasmon resonance)	-	pubmed:18272491|pubmed:DIP-4708S	taxid:9606(Homo sapiens)	taxid:-2(chemical synthesis)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59197E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29728N|refseq:NP_033727|uniprotkb:Q6NXK8	DIP-29729N|refseq:NP_002238|uniprotkb:Q12791	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18287010|pubmed:DIP-4709S|pubmed:18287010|pubmed:DIP-4709S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59199E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29731N|refseq:NP_054862|uniprotkb:Q9NZQ7	DIP-29730N|refseq:NP_032824|uniprotkb:Q02242	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:18287011|pubmed:DIP-4710S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-59200E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29734N|refseq:NP_005003|uniprotkb:Q01973	DIP-29735N|uniprotkb:P41221	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18287027|pubmed:DIP-4712S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59202E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29737N|refseq:NP_725413|uniprotkb:Q8ML92	DIP-29736N|uniprotkb:Q8WXI2	 -	-	-	-	MI:0096(pull down)|MI:0107(surface plasmon resonance)|MI:0071(molecular sieving)|MI:0096(pull down)|MI:0114(x-ray crystallography)	-	pubmed:18287031|pubmed:DIP-4713S|pubmed:18287031|pubmed:DIP-4713S|pubmed:18287031|pubmed:DIP-4713S|pubmed:18287031|pubmed:DIP-4713S|pubmed:18287031|pubmed:DIP-4713S	taxid:7227(Drosophila melanogaster)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59203E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29740N|uniprotkb:O95999	DIP-24261N|uniprotkb:P62988	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0808(comigration in sds page)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18287044|pubmed:DIP-4714S|pubmed:18287044|pubmed:DIP-4714S|pubmed:18287044|pubmed:DIP-4714S|pubmed:18287044|pubmed:DIP-4714S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0195(covalent binding)|MI:0915(physical association)	MI:0465(dip)	DIP-59206E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-27528N|uniprotkb:Q9Y6K9	DIP-29740N|uniprotkb:O95999	 -	-	-	-	MI:0096(pull down)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18287044|pubmed:DIP-4714S|pubmed:18287044|pubmed:DIP-4714S|pubmed:18287044|pubmed:DIP-4714S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59207E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29748N|refseq:NP_006412|uniprotkb:Q9Y6D6	DIP-89N|refseq:NP_005372|uniprotkb:P19338	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18292223|pubmed:DIP-4718S|pubmed:18292223|pubmed:DIP-4718S|pubmed:18292223|pubmed:DIP-4718S|pubmed:18292223|pubmed:DIP-4718S|pubmed:18292223|pubmed:DIP-4718S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59213E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-89N|refseq:NP_005372|uniprotkb:P19338	DIP-29750N|refseq:NP_003133|uniprotkb:P05455	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18292223|pubmed:DIP-4718S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59215E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29752N|refseq:NP_005852|uniprotkb:Q9UNE7	DIP-24269N|uniprotkb:P31749	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18292230|pubmed:DIP-4719S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59220E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24261N|uniprotkb:P62988	DIP-29753N|uniprotkb:P10636	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18292230|pubmed:DIP-4719S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59222E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24269N|uniprotkb:P31749	DIP-24261N|uniprotkb:P62988	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18292230|pubmed:DIP-4719S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59224E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29752N|refseq:NP_005852|uniprotkb:Q9UNE7	DIP-24261N|uniprotkb:P62988	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18292230|pubmed:DIP-4719S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59226E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29753N|uniprotkb:P10636	DIP-24269N|uniprotkb:P31749	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18292230|pubmed:DIP-4719S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59228E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29753N|uniprotkb:P10636	DIP-29752N|refseq:NP_005852|uniprotkb:Q9UNE7	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18292230|pubmed:DIP-4719S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59229E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29468N|refseq:NP_068810	DIP-29754N|refseq:NP_666498|uniprotkb:Q8VIM5	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)	-	pubmed:18296632|pubmed:DIP-4720S|pubmed:18296632|pubmed:DIP-4720S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59231E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29756N|refseq:NP_055271|uniprotkb:Q53EL6	DIP-29755N|refseq:NP_001407|uniprotkb:P60842	 -	-	-	-	MI:0077(nuclear magnetic resonance)|MI:0028(cosedimentation in solution)|MI:0071(molecular sieving)|MI:0114(x-ray crystallography)|MI:0107(surface plasmon resonance)|MI:0065(isothermal titration calorimetry)	-	pubmed:18296639|pubmed:DIP-4722S|pubmed:19204291|pubmed:DIP-12695S|pubmed:19204291|pubmed:DIP-12695S|pubmed:19204291|pubmed:DIP-12695S|pubmed:18296639|pubmed:DIP-4722S|pubmed:19204291|pubmed:DIP-12695S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59233E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-29759N|uniprotkb:O95352	DIP-29757N|refseq:NP_036370|uniprotkb:Q96EB6	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0406(deacetylase assay)	-	pubmed:18296641|pubmed:DIP-4723S|pubmed:18296641|pubmed:DIP-4723S|pubmed:18296641|pubmed:DIP-4723S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59234E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29757N|refseq:NP_036370|uniprotkb:Q96EB6	DIP-29758N|uniprotkb:Q9H1Y0	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18296641|pubmed:DIP-4723S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59235E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29757N|refseq:NP_036370|uniprotkb:Q96EB6	DIP-29760N|refseq:NP_073729|uniprotkb:Q9GZQ8	 -	-	-	-	MI:0406(deacetylase assay)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18296641|pubmed:DIP-4723S|pubmed:18296641|pubmed:DIP-4723S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-59236E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29750N|refseq:NP_003133|uniprotkb:P05455	DIP-29748N|refseq:NP_006412|uniprotkb:Q9Y6D6	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18292223|pubmed:DIP-4718S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-59247E	dip-quality-status:core	dip:0002(small scale)		-
DIP-89N|refseq:NP_005372|uniprotkb:P19338	DIP-29749N|uniprotkb:P37198	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18292223|pubmed:DIP-4718S|pubmed:18292223|pubmed:DIP-4718S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-59248E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
